Rank,Country,PowerIndex
1,United States,0.0615
2,Russia,0.0639
3,China,0.0673
4,India,0.1065
5,France,0.1584
6,Japan,0.1707
7,South Korea,0.1761
8,United Kingdom,0.1797
9,Turkey,0.2089
10,Germany,0.2097
11,Italy,0.2277
12,Egypt,0.2283
13,Brazil,0.2487
14,Iran,0.2606
15,Pakistan,0.2798
16,Indonesia,0.2804
17,Israel,0.2964
18,North Korea,0.3274
19,Australia,0.3277
20,Spain,0.3921
21,Canada,0.3941
22,Taiwan,0.3956
23,Vietnam,0.3988
24,Poland,0.4059
25,Saudi Arabia,0.4286
26,Thailand,0.4302
27,Algeria,0.4551
28,Greece,0.4955
29,Ukraine,0.5082
30,Czechia,0.5119
31,Sweden,0.5263
32,South Africa,0.5405
33,Switzerland,0.5459
34,Mexico,0.5574
35,Netherlands,0.6063
36,Norway,0.6103
37,Myanmar,0.6162
38,Argentina,0.6274
39,Belarus,0.6418
40,Romania,0.6461
41,Malaysia,0.6523
42,Peru,0.6841
43,Venezuela,0.6931
44,Nigeria,0.7007
45,Bangladesh,0.7156
46,Colombia,0.7157
47,Ethiopia,0.7361
48,Uzbekistan,0.7423
49,Bulgaria,0.7525
50,Syria,0.7603
