country,total_national_populations,total_available_military_manpower,total_manpower_fir_for_military_service,total_population_reaching_military_age_annually,active_service_military_manpower,active_service_reserve_components,active_paramilitary_force_strength,total_military_aircraft_strength,total_fighter/interceptor_aircraft_strength,total_attack_aircraft_strength,total_military_transport_aircraft_strength,total_military_trainer_aircraft_strength,special_mission_aircraft_fleets,aerial_tanker_aircraft_fleet_strength,total_helicopter_strength,total_attack_helicopter_strength,total_combat_tank_strength,total_armored_fighting_vehicle_strength,total_self_propelled_artillery_strength,total_towed_artillery_strength,total_rocket_launcher_vehicle_strength,navy_strength,aircraft_carrier_strength,helicopter_carrier_strength,navy_submarine_strength,destroyer_warship_strength,navy_frigate_warship_strength,navy_corvette_warship_strength,navy_patrol_craft_strength,navy_mine_warfare_craft_strength,national_annual_defense_budgets,national_external_debts,purchasing_power_parities,national_reserves_of_foreign_exchange_and_gold,total_number_of_serviceable_airports,total_labor_force_strength,major_ports_and_terminals_totals,total_merchant_marine_strength,country_railway_coverage_totals,country_roadway_coverage_totals,oil_production_figures,oil_consumption_figures,total_proven_oil_reserves,natural_gas_production_figures,natural_gas_consumption_figures,total_proven_natural_gas_reserves,coal_production_figures,coal_consumption_figures,total_proven_coal_reserves,square_land_area,coastline_distances,total_shared_borders_by_countries,total_waterway_coverage_by_countries,country_code,capital_city,capital_city_population,rank,pwr_index
Afghanistan,39232003,15300481,8631041,823872,0,0,80000,17,0,0,0,0,0,0,11,2,0,6555,0,0,0,0,0,0,0,0,0,0,0,0,1100000000,145000000,60803000000,8500000000,46,9390000,2,0,0,34903,0,25000,0,80193000.0,80193000.0,49554000000.0,2096000.0,2096000,66000000.0,652230,0,5987,1200,AFG,Kabul,"4,435,000",115,2.2715
Albania,3101621,1519794,1290274,62032,6600,2000,500,19,0,0,0,0,0,0,19,0,40,976,0,0,0,19,0,0,0,0,0,0,19,0,386000000,10000000000,40822000000,5635000000,3,1378000,4,69,424,3945,16100,26500,150000000,42050000.0,42050000.0,5692000000.0,9000.0,119000,522000000.0,28748,362,691,41,ALB,Tirana,"512,000",90,1.8188
Algeria,44758398,21484031,18261426,716134,325000,135000,150000,605,102,42,61,87,10,5,298,75,1632,35990,224,483,236,213,0,0,6,0,8,16,75,3,21600000000,6000000000,487716000000,56211000000,149,12312000,12,119,4020,104000,1415000,450500,12200000000,87853976000.0,46945035000.0,4503900000000.0,0.0,85000,59000000.0,2381740,998,6734,0,DZA,Algiers,"2,854,000",26,0.3589
Angola,35981281,7196256,3598128,359813,107000,0,10000,297,57,26,30,66,2,0,116,15,310,5500,28,552,123,40,0,0,0,0,0,0,38,2,1623000000,45000000000,203868000000,14468000000,102,14462000,6,58,2761,26000,1200000,135000,7785000000,6767715000.0,860887000.0,343001000000.0,0.0,0,0.0,1246700,1600,5369,1300,AGO,Luanda,"8,952,000",55,0.8702
Argentina,46621847,20513613,17436571,699328,108000,0,20000,229,24,10,22,69,12,2,90,0,348,21724,50,172,26,41,0,0,2,4,0,9,13,0,2544000000,280000000000,986134000000,39653000000,916,21206000,10,203,17866,281290,700000,700000,2483000000,41194148000.0,49476585000.0,396464000000.0,829000.0,1550000,500000000.0,2780400,4989,11968,11000,ARG,Buenos Aires,"15,370,000",28,0.3823
Armenia,2989091,1673891,1371993,44836,57500,210000,5000,64,4,10,2,10,0,0,36,20,221,736,37,145,100,0,0,0,0,0,0,0,0,0,1380000000,12000000000,39613000000,3230000000,7,1153000,0,0,686,7700,0,11000,0,0.0,2537497000.0,0.0,0.0,12000,163000000.0,29743,0,1570,0,ARM,Yerevan,"1,092,000",102,2.0583
Australia,26461166,11113690,9102641,291073,57350,32050,0,325,24,60,38,101,32,6,79,22,59,16162,0,48,0,43,0,2,6,3,8,0,4,4,52559000000,3115913000000,1279000000000,57878000000,418,13786000,29,587,36064,873573,445000,1175000,2446000000,142104321000.0,41905381000.0,3228115000000.0,504051000.0,99048000,149079000000.0,7741220,25760,0,2000,AUS,Canberra,"467,000",16,0.2515
Austria,8940860,4023387,3621048,98349,16000,125600,0,104,15,0,11,16,0,0,66,0,58,848,53,0,0,0,0,0,0,0,0,0,0,0,5666193750,700000000000,484698000000,33957000000,50,4661000,4,1,6123,137039,20000,280000,35200000,924515000.0,9207632000.0,5040000000.0,1327000.0,4899000,0.0,83871,0,2524,358,AUT,Vienna,"1,960,000",71,1.2351
Azerbaijan,10420515,5106052,3824329,156308,126400,300000,15000,144,12,11,2,33,0,0,86,16,920,29312,294,300,218,24,0,0,4,0,1,0,15,7,3770000000,20000000000,146305000000,8307000000,23,4919000,1,309,2944,24981,712000,110000,7000000000,23075000000.0,11468000000.0,1699000000000.0,0.0,19000,0.0,86600,713,2468,0,AZE,Baku,"2,401,000",59,0.9934
Bahrain,1553886,839098,714788,17093,18400,110000,1500,120,18,0,3,40,0,0,74,28,180,2598,38,26,17,58,0,0,0,0,1,2,50,0,1538800000,55000000000,72267000000,4993000000,4,819100,2,190,0,4122,185000,75000,186500000,18271840000.0,18251140000.0,81382000000.0,0.0,0,0.0,760,161,0,0,BHR,Manama,"689,000",86,1.7163
Bangladesh,167184465,81920388,65536310,3176505,163000,0,6800000,216,44,0,16,87,4,0,73,0,320,13100,27,437,71,117,0,0,2,0,7,6,55,5,6995040000,50300000000,1001000000000,46166000000,18,70961000,3,511,2460,369105,14000,125000,30000000,28629927000.0,31268968000.0,126293000000.0,1016000.0,9345000,293000000.0,148460,580,4413,8370,BGD,Dhaka,"22,478,000",37,0.5419
Belarus,9383853,4973442,3678470,103222,63000,145000,55000,183,37,51,4,27,0,0,64,25,517,6700,369,170,206,0,0,0,0,0,0,0,0,0,903900000,40000000000,184482000000,8425000000,65,4950000,1,4,5528,86600,35000,135000,200000000,68951000.0,18639590000.0,2832000000.0,0.0,621000,0.0,207600,0,3599,2500,BLR,Minsk,"2,049,000",64,1.0901
Belgium,11913633,4884590,3860017,119136,25000,6400,0,110,45,0,6,39,0,0,20,0,0,4606,0,0,0,9,0,0,0,0,2,0,2,5,11427262000,1317513000000,599814000000,41872000000,41,5240000,8,199,3602,118414,12000,645000,0,0.0,18171598000.0,0.0,1105000.0,4167000,0.0,30528,67,1297,2043,BEL,Brussels,"2,110,000",70,1.2064
Beliz,419137,159272,90953,8802,1650,850,0,2,0,0,1,0,1,0,1,0,0,130,0,0,0,8,0,0,0,0,0,0,8,0,20000000,1320000000,3505000000,420102800,47,176900,2,817,0,3281,1300,4000,6700000,0.0,0.0,0.0,0.0,0,0.0,22966,386,542,825,BLZ,Belmopan,"25,000",139,3.6437
