RANK,COUNTRY,REGION,POWER INDEX,POPULATION,FIT FOR SERVICE,ACTIVE SERVICE,DEFENSE BUDGET,AIRCRAFT FLEET STRENGTH,TANK STRENGTH,NAVAL FLEET STRENGTH,LABOR FORCE,MERCHANT MARINE FLEET STRENGTH
1,United States,NORTH AMERICA,0.0712," 337,341,954 "," 123,129,813 "," 1,390,000 "," 761,681,000,000 "," 13,300 "," 5,500 ", 484 ," 147,000,000 "," 3,627 "
2,Russia,ASIA,0.0714," 142,021,981 "," 46,583,210 "," 830,900 "," 82,600,000,000 "," 4,182 "," 12,566 ", 598 ," 70,000,000 "," 2,873 "
3,China,ASIA,0.0722," 1,410,539,758 "," 624,869,113 "," 2,000,000 "," 230,000,000,000 "," 3,284 "," 4,950 ", 730 ," 774,710,000 "," 6,662 "
4,India,ASIA,0.1025," 1,389,637,446 "," 515,555,492 "," 1,450,000 "," 54,200,000,000 "," 2,210 "," 4,614 ", 295 ," 523,000,000 "," 1,801 "
5,United Kingdom,EUROPE,0.1435," 67,791,400 "," 24,947,235 "," 194,000 "," 50,235,456,000 ", 663 , 227 , 73 ," 35,412,000 "," 1,249 "
6,South Korea,ASIA,0.1505," 51,844,834 "," 21,256,382 "," 555,000 "," 42,100,000,000 "," 1,602 "," 2,331 ", 157 ," 27,000,000 "," 1,904 "
7,Pakistan,ASIA,0.1694," 242,923,845 "," 82,594,107 "," 654,000 "," 7,500,000,000 "," 1,413 "," 3,742 ", 114 ," 61,710,000 ", 57 
8,Japan,ASIA,0.1711," 124,214,766 "," 43,226,739 "," 240,000 "," 39,660,000,000 "," 1,451 "," 1,004 ", 155 ," 66,540,000 "," 5,201 "
9,France,EUROPE,0.1848," 68,305,148 "," 23,770,192 "," 205,000 "," 45,943,325,500 "," 1,004 ", 222 , 126 ," 27,742,000 ", 548 
10,Italy,EUROPE,0.1973," 61,095,551 "," 22,238,781 "," 170,000 "," 37,000,000,000 ", 850 , 197 , 313 ," 23,000,000 "," 1,296 "
11,Turkiye,ASIA,0.2016," 83,047,706 "," 35,627,466 "," 425,000 "," 25,200,000,000 "," 1,065 "," 2,229 ", 154 ," 25,677,000 "," 1,217 "
12,Brazil,SOUTH AMERICA,0.2151," 217,240,060 "," 87,547,744 "," 360,000 "," 18,785,000,000 ", 665 , 466 , 112 ," 86,621,000 ", 864 
13,Indonesia,ASIA,0.2221," 277,329,163 "," 112,872,969 "," 400,000 "," 8,800,000,000 ", 466 , 314 , 324 ," 130,000,000 "," 10,427 "
14,Egypt,AFRICA,0.2224," 107,770,524 "," 37,073,060 "," 440,000 "," 4,357,200,000 "," 1,069 "," 4,664 ", 245 ," 24,113,000 ", 421 
15,Ukraine,EUROPE,0.2516," 43,528,136 "," 15,539,545 "," 200,000 "," 30,000,000,000 ", 312 ," 1,890 ", 38 ," 18,000,000 ", 409 
16,Australia,AUSTRALIA & OCEANIA,0.2567," 26,141,369 "," 8,992,631 "," 60,500 "," 52,162,000,000 ", 353 , 59 , 43 ," 12,568,000 ", 581 
17,Iran,ASIA,0.2712," 86,758,304 "," 40,776,403 "," 575,000 "," 5,550,000,000 ", 541 ," 4,071 ", 101 ," 30,500,000 ", 893 
18,Israel,ASIA,0.2757," 8,914,885 "," 3,111,295 "," 173,000 "," 24,300,000,000 ", 601 ," 2,200 ", 67 ," 4,000,000 ", 41 
19,Vietnam,ASIA,0.2855," 103,808,319 "," 44,222,344 "," 470,000 "," 6,237,600,000 ", 223 ," 1,829 ", 109 ," 55,000,000 "," 1,926 "
20,Poland,EUROPE,0.3406," 38,093,101 "," 15,313,427 "," 120,000 "," 20,660,000,000 ", 459 , 569 , 86 ," 9,561,000 ", 143 
21,Spain,EUROPE,0.3556," 47,163,418 "," 17,591,955 "," 120,000 "," 15,116,590,000 ", 517 , 327 , 166 ," 19,060,000 ", 478 
22,Saudi Arabia,ASIA,0.3626," 35,354,380 "," 16,899,394 "," 225,000 "," 46,000,000,000 ", 897 ," 1,273 ", 57 ," 14,000,000 ", 392 
23,Taiwan,ASIA,0.3639," 23,580,712 "," 1,061,132 "," 170,000 "," 18,310,000,000 ", 737 ," 1,012 ", 117 ," 11,500,000 ", 429 
24,Thailand,ASIA,0.3738," 69,648,117 "," 27,859,247 "," 350,000 "," 5,860,000,000 ", 488 , 587 , 292 ," 40,000,000 ", 839 
25,Germany,EUROPE,0.3881," 84,316,622 "," 31,028,517 "," 184,000 "," 52,332,500,000 ", 601 , 266 , 80 ," 44,585,000 ", 599 
26,Algeria,AFRICA,0.3911," 44,178,884 "," 18,024,985 "," 130,000 "," 9,979,200,000 ", 547 ," 1,700 ", 201 ," 11,000,000 ", 114 
27,Canada,NORTH AMERICA,0.3956," 38,232,593 "," 13,304,942 "," 70,000 "," 36,300,000,000 ", 376 , 82 , 61 ," 18,136,000 ", 679 
28,Argentina,SOUTH AMERICA,0.4243," 46,245,668 "," 17,295,880 "," 83,000 "," 3,064,800,000 ", 228 , 414 , 47 ," 18,000,000 ", 202 
29,Singapore,ASIA,0.4613," 5,921,231 "," 2,581,657 "," 60,000 "," 13,000,000,000 ", 248 , 170 , 40 ," 3,778,000 "," 3,321 "
