Country,Frequency,Average_GDP_Last_10_Years_Billion_USD,Average_Democracy_Score
United States,172622,20264.7,8.03
Russia,113772,1458.35,3.45
United Kingdom,62493,3087.75,8.3
China,61547,14845.18,2.8
Ukraine,61369,90.72,5.86
Kyrgyzstan,53538,7.93,4.5
New Zealand,49726,202.83,9.29
South Africa,47001,354.77,7.49
Syria,42274,15.89,1.7
Germany,42221,3608.7,8.61
India,42127,2713.83,7.36
Türkiye,40479,1059.6,5.02
France,39649,2559.92,7.95
Colombia,38816,323.41,6.67
Japan,36432,4523.06,8.1
Philippines,35095,378.57,6.55
Iran,30670,464.89,2.23
Israel,30483,362.16,7.69
Canada,30385,1684.66,9.06
Hungary,30347,144.41,6.87
South Korea,30272,1602.7,8.03
Uruguay,29630,59.94,8.32
United Arab Emirates,29419,407.86,2.69
Spain,27840,1297.22,8.14
Italy,26604,1915.11,7.79
Indonesia,26140,1039.64,6.62
Afghanistan,25440,18.71,2.4
Brazil,25288,1842.12,7.03
Georgia,24210,18.95,5.35
Iraq,24202,187.59,3.85
Mexico,24107,1264.69,6.35
Ecuador,23732,102.85,5.85
Venezuela,23362,150.0,4.08
Slovakia,23318,98.54,7.23
Bosnia and Herzegovina,22401,18.74,5.08
Peru,22092,209.85,6.39
Equatorial Guinea,21584,10.54,1.87
Cuba,21419,85.81,3.22
Australia,21100,1502.18,9.03
Egypt,20109,405.12,3.36
Guatemala,20004,71.86,5.55
Argentina,18771,578.04,6.85
Panama,18621,64.61,7.1
Qatar,18419,167.33,3.23
Romania,18327,212.48,6.58
Netherlands,18075,853.03,9.02
Armenia,17957,12.78,4.55
Poland,17951,573.0,7.01
Azerbaijan,17536,54.18,2.89
Kazakhstan,17262,209.69,3.14
Serbia,17242,48.22,6.45
Pakistan,17085,362.5,4.3
Jordan,17033,42.11,3.73
Belarus,16523,58.28,3.06
Saudi Arabia,16479,768.79,1.91
Dominican Republic,16400,87.47,6.46
Singapore,16332,354.74,6.08
Finland,16252,248.57,9.15
Estonia,16136,26.48,7.79
Switzerland,16023,751.64,9.06
Croatia,15584,58.39,6.74
Palestine,15580,14.66,4.59
Greece,15423,204.42,7.65
Tajikistan,15391,11.56,2.18
Chile,15225,262.81,7.88
Montenegro,14420,4.6,6.07
Uzbekistan,13795,110.72,1.95
Costa Rica,13661,65.08,8.07
Moldova,13368,8.81,6.18
Sweden,12973,545.07,9.52
Austria,12830,404.48,8.4
Turkmenistan,12577,47.48,1.74
Libya,11977,54.99,2.67
Belgium,11858,492.81,7.85
Suriname,11815,4.77,6.77
Taiwan,11781,700.0,8.0
Slovenia,11505,49.45,7.68
Lebanon,11279,43.69,4.78
Thailand,11052,441.22,5.9
Norway,10742,413.82,9.83
Bulgaria,10560,57.45,6.85
Malaysia,10351,357.5,6.67
Czechia,10269,209.66,7.94
North Korea,9996,40.0,1.06
Vietnam,9903,317.73,3.01
Morocco,9812,121.16,4.51
Latvia,9251,29.25,7.27
Denmark,9130,336.65,9.3
Fiji,9058,4.92,5.14
Bolivia,9045,36.85,5.45
Albania,8914,13.27,5.94
Portugal,8740,217.49,7.89
El Salvador,8663,25.81,6.14
Cambodia,8658,31.65,4.08
Lithuania,8320,48.81,7.37
Bahrain,8229,36.54,2.82
Ireland,8171,406.36,8.95
Yemen,8072,50.51,2.4
Kenya,7865,85.74,5.03
Paraguay,7766,40.96,6.22
Nigeria,7509,514.9,4.03
Sudan,7301,47.22,2.48
Ethiopia,7288,92.01,3.68
Congo,7131,10.67,2.97
Cyprus,7087,25.45,7.47
Honduras,6605,24.15,5.67
Tunisia,6525,47.47,5.52
Myanmar,6375,65.64,2.64
Kuwait,6326,116.39,3.74
Bangladesh,6285,264.21,5.82
Nicaragua,6256,13.94,4.52
North Macedonia,6218,10.98,6.01
Sri Lanka,5988,92.2,6.27
Kosovo,5938,7.55,5.5
Haiti,5538,14.86,3.93
Somalia,5304,7.72,1.0
Algeria,5273,201.86,3.64
Ghana,5089,61.97,6.29
Laos,4902,18.11,2.13
Liberia,4810,3.33,5.22
Oman,4714,84.42,3.06
Mali,4496,18.9,5.1
Luxembourg,4463,66.63,8.86
Nepal,4444,29.78,4.6
Angola,4421,86.39,3.46
Jamaica,4412,14.54,7.22
Rwanda,4397,11.34,3.28
Tanzania,4266,60.76,5.45
Mongolia,4201,13.7,6.48
Mozambique,4043,18.48,4.32
Benin,3908,14.73,5.47
Uganda,3904,40.11,5.01
Iceland,3815,20.5,9.56
Senegal,3799,22.82,5.79
Guyana,3559,10.0,6.18
Brunei,3559,13.09,2.0
Malta,3542,15.07,8.14
Burundi,3433,3.26,2.98
Zimbabwe,3218,21.26,2.89
South Sudan,3190,16.88,1.5
Burkina Faso,3174,15.04,3.91
Timor-Leste,3092,1.93,7.12
Gabon,2814,15.37,3.4
Trinidad and Tobago,2770,23.04,7.12
Niger,2717,12.46,3.62
Madagascar,2708,12.8,5.01
Namibia,2651,11.28,6.37
Mauritania,2529,7.2,3.95
Cameroon,2517,37.6,3.2
Zambia,2516,24.47,5.76
Sierra Leone,2402,8.18,4.57
Central African Republic,2378,1.94,1.58
Chad,2366,15.64,1.57
Guinea,2266,12.28,2.74
Botswana,2228,15.94,7.75
Bhutan,2045,2.44,4.91
Mauritius,1820,13.09,8.15
Malawi,1752,10.72,5.65
Lesotho,1752,2.29,6.43
Papua New Guinea,1751,24.3,6.19
Côte d'Ivoire,1408,60.11,3.68
Togo,1369,7.08,3.07
Djibouti,1299,3.07,2.71
Eritrea,1233,2.11,2.3
Comoros,1211,1.15,3.47
Hong Kong,1074,324.57,6.01
