Country,Average_GDP_Last_10_Years_Billion_USD
United States,20264.7
China,14845.18
Japan,4523.06
Germany,3608.7
United Kingdom,3087.75
India,2713.83
France,2559.92
Italy,1915.11
Brazil,1842.12
Canada,1684.66
South Korea,1602.7
Australia,1502.18
Russia,1458.35
Spain,1297.22
Mexico,1264.69
Turkey,1059.6
Indonesia,1039.64
Netherlands,853.03
Saudi Arabia,768.79
Switzerland,751.64
Taiwan,700.0
Argentina,578.04
Poland,573.0
Sweden,545.07
Nigeria,514.9
Belgium,492.81
Iran,464.89
Thailand,441.22
Norway,413.82
United Arab Emirates,407.86
Ireland,406.36
Egypt,405.12
Austria,404.48
Philippines,378.57
Pakistan,362.5
Israel,362.16
Malaysia,357.5
South Africa,354.77
Singapore,354.74
Denmark,336.65
Hong Kong,324.57
Colombia,323.41
Vietnam,317.73
Bangladesh,264.21
Chile,262.81
Finland,248.57
Portugal,217.49
Romania,212.48
Peru,209.85
Kazakhstan,209.69
Czechia,209.66
Greece,204.42
New Zealand,202.83
Algeria,201.86
Iraq,187.59
Qatar,167.33
Venezuela,150.0
Hungary,144.41
Morocco,121.16
Kuwait,116.39
Uzbekistan,110.72
Ecuador,102.85
Slovakia,98.54
Puerto Rico,97.13
Sri Lanka,92.2
Ethiopia,92.01
Ukraine,90.72
Dominican Republic,87.47
Angola,86.39
Cuba,85.81
Kenya,85.74
Oman,84.42
Guatemala,71.86
Luxembourg,66.63
Myanmar,65.64
Costa Rica,65.08
Panama,64.61
Ghana,61.97
Tanzania,60.76
Cote d'Ivoire,60.11
Uruguay,59.94
Croatia,58.39
Belarus,58.28
Bulgaria,57.45
Libya,54.99
Azerbaijan,54.18
Yemen,50.51
Slovenia,49.45
Lithuania,48.81
Serbia,48.22
Turkmenistan,47.48
Tunisia,47.47
Sudan,47.22
Democratic Republic of Congo,46.73
Lebanon,43.69
Jordan,42.11
Paraguay,40.96
Macao,40.18
Uganda,40.11
North Korea,40.0
Cameroon,37.6
Bolivia,36.85
Bahrain,36.54
Cambodia,31.65
Nepal,29.78
Latvia,29.25
Estonia,26.48
El Salvador,25.81
Cyprus,25.45
Zambia,24.47
Papua New Guinea,24.3
Honduras,24.15
Trinidad and Tobago,23.04
Senegal,22.82
Zimbabwe,21.26
Iceland,20.5
Georgia,18.95
Mali,18.9
Bosnia and Herzegovina,18.74
Afghanistan,18.71
Mozambique,18.48
Laos,18.11
South Sudan,16.88
Botswana,15.94
Syria,15.89
Chad,15.64
Gabon,15.37
Malta,15.07
Burkina Faso,15.04
Haiti,14.86
Benin,14.73
Palestine,14.66
Jamaica,14.54
Nicaragua,13.94
Mongolia,13.7
Albania,13.27
Mauritius,13.09
Brunei,13.09
Madagascar,12.8
Armenia,12.78
Niger,12.46
Guinea,12.28
Bahamas,12.13
Tajikistan,11.56
Rwanda,11.34
Namibia,11.28
North Macedonia,10.98
Malawi,10.72
Congo,10.67
Channel Islands,10.55
Equatorial Guinea,10.54
Guyana,10.0
Moldova,8.81
New Caledonia,8.74
Sierra Leone,8.18
Kyrgyzstan,7.93
Somalia,7.72
Kosovo,7.55
Isle of Man,7.44
Mauritania,7.2
Togo,7.08
Monaco,6.93
Bermuda,6.9
Liechtenstein,6.27
Guam,5.71
French Polynesia,5.66
Barbados,5.26
Cayman Islands,5.21
Maldives,5.05
Fiji,4.92
Suriname,4.77
Montenegro,4.6
Eswatini,4.33
United States Virgin Islands,3.78
Liberia,3.33
Burundi,3.26
Djibouti,3.07
Aruba,3.06
Andorra,2.99
Faroe Islands,2.83
Curacao,2.79
Greenland,2.68
Bhutan,2.44
Belize,2.31
Lesotho,2.29
Eritrea,2.11
Cape Verde,1.97
Central African Republic,1.94
East Timor,1.93
Saint Lucia,1.89
Seychelles,1.77
Gambia,1.69
Turks and Caicos Islands,1.63
Antigua and Barbuda,1.57
San Marino,1.48
Solomon Islands,1.46
Guinea-Bissau,1.42
Sint Maarten (Dutch part),1.34
Comoros,1.15
Grenada,1.08
Northern Mariana Islands,0.99
Saint Kitts and Nevis,0.98
Samoa,0.88
Saint Vincent and the Grenadines,0.86
Vanuatu,0.83
American Samoa,0.65
Dominica,0.57
Tonga,0.47
Micronesia (country),0.33
Sao Tome and Principe,0.3
Palau,0.25
Kiribati,0.23
Marshall Islands,0.21
Nauru,0.09
Tuvalu,0.04
